feature,importance
Shot_size__last_30m,0.0
Shot_size__last_15m,0.0
Shot_counter__std_5m,0.0
Switch_pressure__last_15m,0.0
Switch_position__std_5m,0.0
Switch_position__std_30m,0.0
Switch_position__std_15m,0.0
Switch_position__min_5m,0.0
Switch_position__min_30m,0.0
Switch_position__min_15m,0.0
Switch_position__mean_5m,0.0
Switch_pressure__mean_5m,0.0
part_number_encoded,0.0
Switch_pressure__mean_15m,0.0
Switch_pressure__max_5m,0.0
Switch_pressure__max_30m,0.0
Switch_pressure__max_15m,0.0
Switch_pressure__last_5m,0.0
Time_on_machine__std_5m,0.0
Cushion__mean_15m,0.0
Cushion__mean_5m,0.0
Time_on_machine__last_30m,0.0
Time_on_machine__last_15m,0.0
Switch_pressure__std_5m,0.0
Switch_pressure__std_30m,0.0
Switch_pressure__std_15m,0.0
Switch_pressure__min_5m,0.0
Switch_pressure__min_30m,0.0
Switch_pressure__min_15m,0.0
Time_on_machine__min_15m,0.0
Time_on_machine__mean_5m,0.0
Time_on_machine__mean_30m,0.0
Time_on_machine__mean_15m,0.0
Cushion__last_5m,0.0
Cushion__last_30m,0.0
Cyl_tmp_z1__min_5m,0.0
Time_on_machine__std_30m,0.0
Time_on_machine__std_15m,0.0
Cyl_tmp_z1__mean_5m,0.0
Cyl_tmp_z1__mean_30m,0.0
Cyl_tmp_z1__mean_15m,0.0
Cyl_tmp_z1__max_5m,0.0
Cyl_tmp_z1__max_30m,0.0
Switch_position__mean_30m,0.0
Switch_position__mean_15m,0.0
Switch_position__max_5m,0.0
Switch_position__max_30m,0.0
Switch_position__max_15m,0.0
Switch_position__last_5m,0.0
Switch_pressure__last_30m,0.0
